path,line,category,em_dash_count,notes,snippet
TODO.md,23,markdown,1,,"- [x] Fix `Ovl` resource pointer/relocation resolution returning wrong bytes for some resources — see"
TODO.md,30,markdown,1,,"in `BinaryReaderExtensions.Read<T>` (`OpenCobra/OVL/Files/TextureDecoding.cs:188`) — currently only"
TODO.md,39,markdown,1,,"- [ ] Verify `GLState.IsCoreProfile` detection logic (`OpenCobra/GDK/GLState.cs:73`) — flagged as possibly"
TODO.md,43,markdown,1,,"- [ ] `ImDraw` (`OpenCobra/GDK/ImDraw.cs`) has no real consumers yet — default line width, circle segment"
TODO.md,50,markdown,1,,"`OpenRCT3/Input/DefaultBindings.cs` but aren't consumed — only Normal mode is)"
TODO.md,51,markdown,1,,"- [ ] Add an explicit `CameraMode` enum/dispatch — mode-dependent effects (e.g. Q/E snap vs. continuous"
TODO.md,59,markdown,1,,"- [ ] Implement progress bar UI for park loading (`OpenRCT3/Game.cs:122`) — Create a loading-screen UI that displays `Progress` while `ParkLoadSystem` runs asynchronously. May require making `World.Load` truly async or moving it off the render loop thread."
TODO.md,60,markdown,1,,"- [ ] Migrate additional systems to the pipeline (input, camera, water invalidation, etc.) — Identify and implement other systems that could move into the `ISystem`/`Scheduler` pipeline once the pattern has more real-world examples to follow."
TODO.md,68,markdown,1,,"(`OpenRCT3/Rides/TrackSpline/ProceduralPieces.cs:GenerateCurve,GenerateCorkscrew`) — independent quality"
TODO.md,71,markdown,1,,"(`OpenRCT3/Rides/TrackSpline/SplineTypes.cs`) — a stated goal of the original track-spline plan that was"
TODO.md,76,markdown,1,,"(`OpenRCT3/Rides/TrackSpline/SplineTypes.cs:118`) — pairs with block-section flagging above; both are"
TODO.md,79,markdown,1,,"`BogiContactPoint` data (`OpenRCT3/Rides/TrackSpline/WheelIK.cs`) — this plan only produces contact-point"
TODO.md,83,markdown,1,,"— simpler than ride-track splines (no physics, no arc-length parameterization), purely geometric guidance"
plugins/README.md,63,markdown,1,,"| sid-viewer | `""sid""` | Scenery Item | Metadata table (name/icon/group, resolved via the new `resolve_symbol_reference`/`symbol_address` host functions), an SVG placement diagram, and an LOD table (mesh type, distance, resolved shs/fts/txs refs) per linked SVD. **Known issue**: `render()` crashes the Extism JS test harness with `RangeError: Offset is outside the bounds of the DataView` — every piece of the render logic passes in isolation when bisected into standalone minimal plugins, but the crash reproduces once combined in the real file; the exact interaction hasn't been pinned down. The two `render()` tests are `Deno.test.ignore`d in `sid-viewer/index.test.ts` with a note; `name()`/`file_types()` still pass. See `.agents/plans/features/ovl/ovl-scenery-items.md`. |"
plugins/README.md,73,markdown,1,markdown table placeholder cell,"| —        | ftx-viewer | `""ftx""` | Flexible Texture    | Difficult      | Planned |"
plugins/README.md,74,markdown,1,markdown table placeholder cell,"| —        | svd-viewer | `""svd""` | Scenery Item Visual | Moderate       | Planned |"
plugins/README.md,138,markdown,1,,"- [OVL Decoding Plans](.opencode/plans/OVL%20Decoding/) — format specifications and implementation difficulty ranking"
plugins/README.md,139,markdown,1,,"- [OVL Dumper Plan](.opencode/plans/extism-plugin-viewers.md) — host-side plugin system architecture"
plugins/README.md,143,markdown,1,,"1. **Terrain viewer** (`ter-viewer`) — simple struct with color parameters"
plugins/README.md,144,markdown,1,,"2. **Scenery Item viewer** (`sid-viewer`) — complex metadata for full scenery definitions"
plugins/mam-viewer/index.ts,41,code-comment,1,,"// unk04 (1 float = 4 bytes) — unknown field after bbox_min"
plugins/mam-viewer/index.ts,43,code-comment,1,,"// unk04 (1 float = 4 bytes) — unknown field after bbox_max"
plugins/palette-converter.ts,5,code-comment,1,,"// alphaPixels may be empty (length 0) — palette alpha is used, or 255 if palette is empty."
plugins/sid-viewer/index.ts,188,string-literal,1,,"if (lod.boneShapeRef != null) refs.push(""bsh: "" + escapeHtml(lod.boneShapeRef!) + "" (undecoded — BSH)"");"
plugins/sid-viewer/index.ts,274,string-literal,1,,"html += renderMetadataRow(""Name"", nameText != null ? escapeHtml(nameText!) : ""<em>(not resolvable — likely in a shared pack catalog)</em>"");"
plugins/txt-viewer/index.ts,27,code-comment,1,,"// unlike JS/TS — so multi-byte chars must be appended one code unit at a time."
